,en,es,ja
Shouten Cut_desc,Physical cut damage to one enemy. Ignores defense.,Daño físico de corte a un enemigo. Ignora defensas.,
Snowball,Snowball,Bola de nieve,
Snowball_desc,Ice magical damage. Might blind the foe.,Daño mágico de hielo. Puede causar ceguera.,
Snowstorm,Snowstorm,Tormenta de nieve,
Snowstorm_desc,Ice magical damage to all foes. Might cause blindness.,Daño mágico de hielo a todos. Puede causar ceguera.,
Suplex,Suplex,Súplex,
Suplex_desc,"Brutal physical damage to one enemy. Shocks and flips enemy, knocks down flying targets.","Daño brutal físico de golpe a un enemigo. Causa shock y voltea al enemigo, derriba objetivos voladores.",
Swirl,Swirl,Remolino,
Swirl_desc,Wind damage. Causes vertigo to all foes.,Daño de viento. Causa vértigo a todos los enemigos.,
Thunder Lance,Thunder Lance,Lanza trueno,
Thunder Lance_desc,Thunder magical damage to all enemies that ignores defenses.,Daño mágico de trueno a todos los enemigos que ignora defensas.,
Thunder Wave,Thunder Wave,Onda trueno,
Thunder Wave_desc,"Discharge that can paralyze, and reduces target speed.","Descarga que puede paralizar, y reduce agilidad del objetivo.",
,,,
Comet Punch,Comet Punch,Golpe cometa,
Comet Punch_desc,LIMIT. Freezing fast punch.,LÍMITE. Golpe rápido congelante.,
Shooting Star,Shooting Star,Estrella Fugaz,
Shooting Star_desc,LIMIT. Makes a celestial body fall from the sky over the target.,LÍMITE. Hace caer un cuerpo celeste sobre un enemigo.,
Pearl Wind,Pearl Wind,Viento Perla,
Pearl Wind_desc,LIMIT. Drains life of all enemies.,LÍMITE. Drena vida de los enemigos.,
,,,
Absolute Zero,Absolute Zero,Cero Absoluto,
Absolute Zero_desc,LIMIT. Damage that depends on the user's remaining LP and MP. Causes Sleep.,LÍMITE. Daño dependiendo del desgaste del usuario. Causa sueño.,
Supernova,Supernova,Supernova,
Supernova_desc,LIMIT. Depends on how much MP the user has. Thunder damage. Ignores defense.,LÍMITE. Realiza daño basado en cantidad de mana disponible.,
,,,
"Sorry, but I'll have to take care of you.","Sorry, but I'll have to take care of you.","Lo siento, pero tendré que encargarme de tí.",
Here we go again.,Here we go again.,Aquí vamos de nuevo.,
I might need to revise my strategy...,I might need to revise my strategy...,Tendré que revisar mi estrategia...,
Operate switch?,Operate switch?,¿Accionar el interruptor?,
